population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2006,6529.509953069772,6944.231711299589,6125.068759122918
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2005,23427.95931948941,24489.943651902664,22064.584956313127
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2007,25097.249937303317,26249.41222830355,23860.86110739398
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2009,50581.591868976415,53544.89884086904,45368.245114755046
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2008,60892.55253449345,65778.64087534852,53610.20411801642
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2008,43054.25156190118,45924.17815878518,40022.592028485196
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2008,7046.7083433676125,7430.64368957428,6636.170013040302
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2004,3122.1767620790574,3374.038953496336,2874.738760988197
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2005,3241.3284278039832,3492.876365868869,2994.7665437468995
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2010,52509.15345498884,55422.69225366616,46889.233571381046
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2006,24118.32868669012,25231.781044361018,22749.776800584757
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2009,62084.69873883459,67029.87402407575,54419.04519020663
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2009,42792.19926272268,45713.95466105849,39947.96411189769
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2009,7214.299143635696,7613.181565647246,6771.816606041811
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2010,63735.275274423286,68834.6726909559,55765.54118770037
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2010,42075.25437068493,44813.72492265971,39451.974476026786
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2010,7561.870800046756,7964.034069901163,7119.446355786241
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2006,3268.2541563715477,3497.788879884427,3018.8954285754858
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2011,54574.70434173735,57718.04362327062,49052.822595437225
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Doença pulmonar obstrutiva crônica,Número,2012,53966.716145295795,57077.23030255215,48642.848201720546
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2008,26063.430490430033,27220.340370519898,24600.139703471516
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Leucemia mieloide aguda,Número,2007,3339.25399587276,3564.13162105739,3087.4810007747537
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2011,64411.30559872435,69737.30708797512,56274.66163911601
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2011,42136.45897909142,44815.581058329524,39311.87535891241
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,Aneurisma da aorta,Número,2011,7881.296002389447,8338.70245967146,7388.463467425939
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,"Câncer de traqueia, brônquios e pulmão",Número,2009,26732.85074651971,27913.06747624313,25327.83899844581
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC isquêmico,Número,2012,63429.87306092665,68843.54368414145,55292.43096550132
Toda a população,Óbitos,Brasil,Ambos,Todas as idades,AVC hemorrágico,Número,2012,41407.086278734976,44097.792924195244,38480.06974797168
